tra_infr,unit,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
MWAY,KM,ITF6	295 	295 	295 	295 	295 	295 	295 	295 	295 	288 	288 	288 
MWAY,KM,ITG1	644 	654 	654 	654 	654 	654 	662 	662 	678 	681 	681 	681 
MWAY,KM,ITG2	: 	: 	: 	: 	: 	: 	: 	: z	: 	: 	: 	: 
MWAY,KM,ITH1	211 	211 	211 	212 	212 	212 	212 d	212 d	212 d	212 d	212 d	207 d
MWAY,KM,ITH3	485 	493 	525 	525 	525 	556 	556 	576 	590 	588 	588 	583 
MWAY,KM,ITH4	210 	210 	210 	210 	210 	210 	210 	210 	210 	210 	210 	244 
MWAY,KM,ITH5	568 	568 	568 	568 	568 	568 	568 	568 	571 	572 	572 	567 
MWAY,KM,ITI1	424 	436 	436 	436 	436 	448 	448 	448 	463 	462 	462 	462 
MWAY,KM,ITI2	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 
MWAY,KM,ITI3	168 	168 	168 	168 	168 	168 	168 	168 	168 	168 	168 	168 
MWAY,KM,ITI4	470 	470 	470 	470 	470 	470 	470 	485 	497 	498 	498 	498 
MWAY,KM,LI00	: z	: z	: z	: z	: z	: z	: z	0 	0 	0 	0 	0 
MWAY,KM,LT01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	90 	90 
MWAY,KM,LT02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	234 	234 
MWAY,KM,LU00	147 	147 	152 	152 	152 	152 	152 	152 	161 	161 	165 	165 
MWAY,KM,LV00	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM,MT00	: z	: z	: z	: z	: z	: z	: 	0 	0 	0 	0 	0 
MWAY,KM,NL11	93 	93 	93 	95 	95 	95 	95 	95 	110 	110 	107 	107 
MWAY,KM,NL12	186 	186 	193 	196 	195 	201 	201 	202 	206 	206 	206 	207 
MWAY,KM,NL13	110 	110 	128 	128 	127 	127 	127 	127 	148 	148 	148 	148 
MWAY,KM,NL21	133 	133 	147 	147 	150 	149 	150 	150 	150 	155 	155 	155 
MWAY,KM,NL22	391 	391 	393 	393 	393 	393 	393 	393 	393 	393 	393 	394 
MWAY,KM,NL23	99 	99 	99 	99 	99 	101 	103 	103 	103 	102 	102 	103 
MWAY,KM,NL31	177 	177 	177 	177 	177 	177 	177 	177 	176 	176 	176 	176 
MWAY,KM,NL32	283 	283 	283 	283 	282 	284 	290 	296 	296 	295 	297 	298 
MWAY,KM,NL33	353 	353 	353 	361 	362 	362 	362 	362 	361 	368 	368 	367 
MWAY,KM,NL34	84 	84 	65 	63 	65 	69 	68 	70 	71 	87 	87 	86 
MWAY,KM,NL41	491 	491 	483 	490 	489 	489 	489 	492 	505 	504 	504 	504 
MWAY,KM,NL42	183 	183 	219 	216 	216 	213 	213 	213 	212 	212 	216 	212 
MWAY,KM,NO01	108 	112 	119 	128 	133 	144 	166 	178 	181 	181 	174 	: 
MWAY,KM,NO02	0 	0 	0 	14 	14 	16 	16 	28 	28 	28 	37 	: 
MWAY,KM,NO03	107 	110 	151 	165 	172 	169 	183 	183 	222 	222 	229 	: 
MWAY,KM,NO04	13 	25 	63 	63 	63 	51 	63 	63 	63 	63 	63 	: 
MWAY,KM,NO05	11 	11 	11 	11 	11 	13 	13 	13 	12 	13 	20 	: 
MWAY,KM,NO06	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
MWAY,KM,NO07	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
MWAY,KM,PL21	60 	59 	79 	80 	80 	137 	136 	151 	151 	151 	151 	151 
MWAY,KM,PL22	73 	83 	100 	107 	130 	169 	169 	176 	176 	176 	175 	175 
